Product ID,Name,Price,Product_Type,Description,Supplier,Expiry Duration,Storage_Type
GROC033,McCain Aloo Tikki 420g,115,Frozen Food,Frozen spiced potato patties,McCain,12 months,Frozen
GROC034,ITC Bingo Mad Angles 110g,25,Snacks,Spicy triangle-shaped chips,ITC,6 months,Ambient
GROC035,Borges Olive Oil 500ml,420,Cooking Oil,Extra virgin olive oil for cooking,Borges,24 months,Ambient
GROC036,Golden Harvest Poha 1kg,65,Poha,Flattened rice for breakfast dishes,Golden Harvest,6 months,Ambient
GROC037,Tata Sampann Urad Dal 1kg,125,Pulses,Split black gram dal,Tata,12 months,Ambient
GROC038,Fortune Soya Bean Oil 1L,135,Cooking Oil,Refined soyabean oil for cooking,Fortune,9 months,Ambient
GROC039,MTR Rasam Powder 200g,78,Spices,South Indian rasam masala blend,MTR,24 months,Ambient
GROC040,Nestlé Everyday Dairy Whitener 400g,225,Dairy,Milk powder for tea and coffee,Nestlé,12 months,Ambient
GROC041,Aashirvaad Instant Suji Halwa 300g,99,Ready-to-Eat,Microwave-ready Indian dessert,ITC,6 months,Ambient
GROC042,Britannia Rusk 275g,45,Biscuits,Crunchy dry bread for tea-time,Britannia,9 months,Ambient
GROC043,Dabur Honey 500g,199,Honey,100% pure and natural honey,Dabur,24 months,Ambient
GROC044,Chings Secret Schezwan Chutney 250g,80,Condiment,Spicy Indo-Chinese sauce,Chings,12 months,Ambient
GROC045,Kohinoor Super Basmati Rice 5kg,570,Rice,Premium long-grain aromatic rice,Kohinoor,24 months,Ambient
GROC046,24 Mantra Organic Tur Dal 1kg,155,Pulses,Organic pigeon peas (toor dal),24 Mantra,12 months,Ambient
GROC047,Nandini Curd 500g,45,Dairy,Fermented curd (packaged),Nandini,7 days,Refrigerated
GROC048,Tang Orange Instant Drink Mix 750g,210,Beverage Mix,Flavored vitamin C drink mix,Tang,12 months,Ambient
GROC049,Hershey’s Chocolate Syrup 623g,199,Condiment,Chocolate syrup for desserts,Hershey’s,18 months,Ambient
GROC050,Mother Dairy Lassi 200ml,20,Drinkable Dairy,Sweetened curd-based drink,Mother Dairy,15 days,Refrigerated
